Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,NOR,2.0,98.01,4.884,5.0,1.0,2.0,-4.158000000000001,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,3.0,97.787,6.598,6.0,1.0,3.0,-0.22299999999999898,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,4.0,97.45,7.632,7.0,1.0,4.0,-0.3370000000000033,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,5.0,97.794,8.435,8.0,1.0,5.0,0.3439999999999941,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,6.0,97.896,9.056,9.0,1.0,6.0,0.10200000000000387,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,7.0,97.86,9.86,10.0,1.0,7.0,-0.036000000000001364,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,8.0,98.134,10.682,11.0,1.0,8.0,0.2740000000000009,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,9.0,98.064,11.792,12.0,1.0,9.0,-0.07000000000000739,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,10.0,97.936,12.627,13.0,1.0,10.0,-0.1279999999999859,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,11.0,98.172,13.603,14.0,1.0,11.0,0.23599999999999,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,12.0,98.082,14.69,15.0,1.0,12.0,-0.09000000000000341,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,13.0,100.635,15.727,16.0,1.0,13.0,2.5530000000000115,True,False,False,30.0
2024,1,Bahrain Grand Prix,NOR,14.0,117.77,19.332,1.0,2.0,1.0,0.0,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,15.0,96.912,40.074,2.0,2.0,2.0,-20.85799999999999,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,16.0,96.565,39.975,3.0,2.0,3.0,-0.3470000000000084,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,17.0,96.776,39.372,4.0,2.0,4.0,0.21099999999999852,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,18.0,96.508,36.252,5.0,2.0,5.0,-0.2680000000000007,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,19.0,96.416,14.906,6.0,2.0,6.0,-0.09199999999999875,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,20.0,96.501,16.039,7.0,2.0,7.0,0.08500000000000796,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,21.0,96.62,17.38,8.0,2.0,8.0,0.11899999999999977,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,22.0,96.668,18.684,9.0,2.0,9.0,0.04800000000000182,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,23.0,96.696,20.148,10.0,2.0,10.0,0.027999999999991587,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,24.0,96.823,21.628,11.0,2.0,11.0,0.12699999999999534,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,25.0,96.73,23.162,12.0,2.0,12.0,-0.09299999999998931,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,26.0,96.566,24.55,13.0,2.0,13.0,-0.16400000000000148,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,27.0,96.726,25.893,14.0,2.0,14.0,0.1599999999999966,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,28.0,97.018,27.038,15.0,2.0,15.0,0.2920000000000016,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,29.0,97.041,28.579,16.0,2.0,16.0,0.022999999999996135,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,30.0,96.986,29.827,17.0,2.0,17.0,-0.05499999999999261,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,31.0,97.083,31.042,18.0,2.0,18.0,0.0969999999999942,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,32.0,97.171,32.446,19.0,2.0,19.0,0.08800000000000807,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,33.0,99.626,33.731,20.0,2.0,20.0,2.4549999999999983,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,34.0,116.898,37.494,1.0,3.0,1.0,0.0,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,35.0,94.476,58.259,2.0,3.0,2.0,-22.421999999999997,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,36.0,95.69,56.717,3.0,3.0,3.0,1.2139999999999986,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,37.0,95.067,56.202,4.0,3.0,4.0,-0.6230000000000047,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,38.0,95.149,52.035,5.0,3.0,5.0,0.08200000000000784,False,False,True,30.0
